CIPFamily,CIPCode,Action,TextChange,CIPTitle,CIPDefinition,CrossReferences,Examples
01,01.0307,No substantive changes,no,Horse Husbandry/Equine Science and Management.,"A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and to manage horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics.",,
01,01.0308,No substantive changes,no,Agroecology and Sustainable Agriculture.,"A program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. Includes instruction in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management.",30.3301 - Sustainability Studies.,"Examples: - Agroecology, - Sustainable Agriculture, - Organic Farming"
01,01.0309,Moved from,no,Viticulture and Enology.,Moved from 01.0309 to 01.1004,,
01,01.0310,New,no,Apiculture.,"A program that focuses on improving the beekeeping industry, promoting pollination of fruits and vegetables, and bee colony expansion and maintenance. Includes instruction in apiary behavior, apiary equipment and supplies, beekeeping, bee pests and parasites, handling bees, hive set up and care, queen rearing, and seasonal management practices.",36.0120 - Beekeeping.,"Examples: - Scientific Beekeeping, - Apiary Management"
01,01.0399,No substantive changes,no,"Agricultural Production Operations, Other.",Any instructional program in agricultural production operations not listed above.,,
01,01.04,No substantive changes,no,Agricultural and Food Products Processing.,Instructional content for this group of programs is defined in codes 01.0401 - 01.0480.,,
01,01.0401,No substantive changes,no,Agricultural and Food Products Processing.,"A program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products.  Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles.",,
01,01.0480,New,no,Reserved.,Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting.,,
01,01.05,No substantive changes,no,Agricultural and Domestic Animal Services.,Instructional content for this group of programs is defined in codes 01.0504 - 01.0599.,,
01,01.0504,No substantive changes,no,Dog/Pet/Animal Grooming.,"A program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes.  Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations.",,
01,01.0505,No substantive changes,no,Animal Training.,"A program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes.  Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, caregiving (e.g., seeing-eye dogs), search and rescue, and police/security work.",,
01,01.0507,No substantive changes,no,Equestrian/Equine Studies.,"A program that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and riders.  Includes instruction in horse breeding, nutrition, health, and safety; history of the horse and horsemanship; horse development and training; riding and equestrian technique; stable, paddock, and track management; and equipment maintenance and repair.",,
01,01.0508,No substantive changes,no,Taxidermy/Taxidermist.,"A program that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesses.  Includes instruction in specimen grading and selection, caping and fleshing, preservation procedures, tanning, drying, measurements, form and armature construction, carpentry and woodworking, molding and casting, drawing, sculptural techniques, painting and finishing techniques, basic business operations, customer communications, and applicable laws and regulations.",,
01,01.0509,New,no,Farrier Science.,"A program of study that prepares individuals to become specialists in equine hoof care (farriers). Includes instruction in equine science, equine health and first aid, general horseshoeing, corrective horseshoeing, gait analysis, and metal forging techniques using gas or coal.",,
01,01.0599,No substantive changes,no,"Agricultural and Domestic Animal Services, Other.",Any instructional program in agricultural and domestic animal services not listed above.,,
01,01.06,No substantive changes,no,Applied Horticulture and Horticultural Business Services.,Instructional content for this group of programs is defined in codes 01.0601 - 01.0699.,,
01,01.0601,No substantive changes,no,"Applied Horticulture/Horticulture Operations, General.","A program that focuses on the general production and processing of domesticated plants, shrubs, flowers, foliage, trees, groundcovers, and related plant materials; the management of technical and business operations connected with horticultural services; and the basic scientific principles needed to understand plants and their management and care.",,
01,01.0603,No substantive changes,no,Ornamental Horticulture.,"A program that focuses on  domesticated plants and plant materials used for decorative and recreational applications and prepares individuals to breed, grow, and utilize ornamental plant varieties for commercial and aesthetic purposes.  Includes instruction in applicable plant science subjects, the environmental design and artistic aspects of horticultural product usage, and the management of horticultural operations.",,
01,01.0604,No substantive changes,no,Greenhouse Operations and Management.,"A program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes.  Includes instruction in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision.",,
01,01.0605,No substantive changes,no,Landscaping and Groundskeeping.,"A program that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and individual clients.  Includes instruction in applicable principles of horticulture, gardening, plant and soil irrigation and nutrition, turf maintenance, plant maintenance, equipment operation and maintenance, personnel supervision, and purchasing.",04.0601 - Landscape Architecture.,Examples: - Greenspace
01,01.0606,No substantive changes,no,Plant Nursery Operations and Management.,"A program that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation.  Includes instruction in applicable principles of plant science, farm and business management, nursery operations, equipment operation and maintenance, safety procedures, and personnel supervision.",,
01,01.0607,No substantive changes,no,Turf and Turfgrass Management.,"A program that focuses on turfgrasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplantation.  Includes instruction in applicable plant sciences, genetics of grasses, turf science, use analysis, turf management, and related economics.",,Examples: - Golf and Sports Turf Management
01,01.0608,No substantive changes,no,Floriculture/Floristry Operations and Management.,"A program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services.  Includes instruction in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management.",,"Examples: - Floral Arrangement, - Floral Design, - Floristry, - Retail Floristry"
01,01.0609,New,no,Public Horticulture.,"A program of study that focuses on combining traditional horticulture and public education and outreach. Includes instruction in botany, soil science, plant science, agricultural economics, leadership, and business.",36.0123 - Master Gardener/Gardening.,
01,01.0610,New,no,Urban and Community Horticulture.,"A program that focuses on principles and techniques for the production of horticultural crops in an urban environment. Includes instruction in ecology, environmental sustainability, food production systems, and plant and soil sciences.",,
01,01.0680,New,no,Reserved.,Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting.,,
01,01.0699,No substantive changes,no,"Applied Horticulture/Horticultural Business Services, Other.",Any instructional program in horticultural service operations not listed above.,03.0508 - Urban Forestry.,
01,01.07,No substantive changes,no,International Agriculture.,Instructional content is defined in code 01.0701.,,
01,01.0701,No substantive changes,no,International Agriculture.,"A program that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution, and to the study of the agricultural systems of other countries.  Includes instruction in agricultural economics; comparative agricultural systems; international agribusiness and law; third-world development studies and economic development; and global applications of climate, soil, water resources, ecological and environmental studies, and animal and plant sciences.",45.0604 - Development Economics and International Development.,
01,01.08,No substantive changes,no,Agricultural Public Services.,Instructional content for this group of programs is defined in codes 01.0801 - 01.0899.,,
01,01.0801,No substantive changes,no,Agricultural and Extension Education Services.,"A program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations.  Includes instruction in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable state laws and regulations, and communication skills.","13.1301 - Agricultural Teacher Education., 45.1103 - Rural Sociology., 36.0123 - Master Gardener/Gardening.",
01,01.0802,No substantive changes,no,Agricultural Communication/Journalism.,"A program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information.  Includes instruction in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways.",09.0407 - Science/Health/Environmental Journalism.,
01,01.0899,No substantive changes,no,"Agricultural Public Services, Other.",Any instructional program in general agricultural sciences and related services not listed above.,,
01,01.09,No substantive changes,no,Animal Sciences.,Instructional content for this group of programs is defined in codes 01.0901 - 01.0999.,,
01,01.0901,No substantive changes,no,"Animal Sciences, General.","A general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals, and the production, processing, and distribution of agricultural animal products.  Includes instruction in the animal sciences, animal husbandry and production, and agricultural and food products processing.",26.0701 - Zoology/Animal Biology.,
01,01.0902,No substantive changes,no,Agricultural Animal Breeding.,"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations.  Includes instruction in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology.",26.0804 - Animal Genetics.,
01,01.0903,No substantive changes,no,Animal Health.,"A program that focuses on the application of biological and chemical principles to the study, prevention, and control of diseases in agricultural animal populations.  Includes instruction in environmental science, pharmacology, animal population studies, genetics, animal physiology and diet, disease prevention, treatment methodologies, and laboratory and testing procedures.",,
01,01.0904,No substantive changes,no,Animal Nutrition.,"A program that focuses on the biology and chemistry of proteins, fats, carbohydrates, water, vitamins, and feed additives as related to animal health and the production of improved animal products.  Includes instruction in nutrition science, animal health and physiology, biochemistry, cellular and molecular biology, animal husbandry, and food science.",,
01,01.0905,No substantive changes,no,Dairy Science.,"A program that focuses on the application of biological and chemical principles to the production and management of dairy animals and the production and handling of dairy products.  Includes instruction in animal sciences, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety.",,
01,01.0906,No substantive changes,no,Livestock Management.,"A program that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products.  Includes instruction in animal sciences, range science, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety.",,Examples: - Meat Science
01,01.0907,No substantive changes,no,Poultry Science.,"A program that focuses on the application of biological and chemical principles to the production and management of poultry animals and the production and handling of poultry products.  Includes instruction in avian sciences, nutrition sciences, food science and technology, biochemistry, hatchery design, and related aspects of human and animal health and safety.",,
01,01.0999,No substantive changes,no,"Animal Sciences, Other.",Any instructional program in the animal sciences not listed above.,,
01,01.10,No substantive changes,no,Food Science and Technology.,Instructional content for this group of programs is defined in codes 01.1001 - 01.1099.,,
01,01.1001,No substantive changes,no,Food Science.,"A program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products.  Includes instruction in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology.","19.0501 - Foods, Nutrition, and Wellness Studies, General., 12.0509 - Culinary Science/Culinology.",Examples: - Food Safety
01,01.1002,No substantive changes,no,Food Technology and Processing.,"A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance.",,
01,01.1003,New,no,Brewing Science.,"A program that focuses on the business, science, and technology of beer brewing operations. Includes instruction in biology, biochemistry, brewing, entrepreneurship, fermentation, malting, marketing, microbiology, quality control, and sanitation.",52.0910 - Brewery/Brewpub Operations/Management.,Examples: - Sustainable Brewing
01,01.1004,Moved to,no,Viticulture and Enology.,"A program that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. Includes instruction in grapes and wines of the world; grape production; winemaking technology; plant biology; chemistry; food science, safety, and packaging; soil science; pest management; and marketing and business management.",,"Examples: - Viticulture, - Enology"
01,01.1005,New,no,Zymology/Fermentation Science.,"A program that focuses on the business, science, and technology of fermented food production. Includes instruction in biology, biochemistry, brewing, entrepreneurship, fermentation, marketing, microbiology, quality control, and sanitation.",52.0910 - Brewery/Brewpub Operations/Management.,
01,01.1099,No substantive changes,no,"Food Science and Technology, Other.",Any instructional program in food sciences and technology not listed above.,,
01,01.11,No substantive changes,no,Plant Sciences.,Instructional content for this group of programs is defined in codes 01.1101 - 01.1199.,,
01,01.1101,No substantive changes,no,"Plant Sciences, General.","A general program that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products.  Includes instruction in the plant sciences, crop cultivation and production, and agricultural and food products processing.","26.0308 - Plant Molecular Biology., 26.0307 - Plant Physiology., 26.0301 - Botany/Plant Biology., 26.0305 - Plant Pathology/Phytopathology.",
01,01.1102,No substantive changes,no,Agronomy and Crop Science.,"A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity.",,
01,01.1103,No substantive changes,no,Horticultural Science.,"A program that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops.  Includes instruction in specific types of plants, such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle.",,
01,01.1104,No substantive changes,no,Agricultural and Horticultural Plant Breeding.,"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations.  Includes instruction in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology.",26.0805 - Plant Genetics.,
01,01.1105,No substantive changes,no,Plant Protection and Integrated Pest Management.,"A program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. Includes instruction in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology.",26.0702 - Entomology.,"Examples: - Pest Management, - Extermination"
01,01.1106,No substantive changes,no,Range Science and Management.,"A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology.",,
01,01.1180,New,no,Reserved.,Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting.,,
01,01.1199,No substantive changes,no,"Plant Sciences, Other.",Any instructional program in plant sciences not listed above.,,
01,01.12,No substantive changes,no,Soil Sciences.,Instructional content for this group of programs is defined in codes 01.1201 - 01.1299.,,
01,01.1201,No substantive changes,no,"Soil Science and Agronomy, General.","A program that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops.  Includes instruction in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydrology, agronomy, and soil conservation and management.",,
01,01.1202,No substantive changes,no,Soil Chemistry and Physics.,"A program that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils.  Includes instruction in soil and fluid mechanics, mineralogy, sedimentology, thermodynamics, geomorphology, environmental systems, analytical methods, and organic and inorganic chemistry.",,
01,01.1203,No substantive changes,no,Soil Microbiology.,"A program that focuses on application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies.  Includes instruction in microbiology and related biological sciences, applicable animal and plant sciences, soil chemistry and physics as related to biological characteristics, and environmental science.",,
01,01.1299,No substantive changes,no,"Soil Sciences, Other.",Any instructional program in the soil sciences not listed above.,,Examples: - Environmental Soil Science
01,01.13,New,no,Agriculture/Veterinary Preparatory Programs.,Instructional content for this group of programs is defined in codes 01.1302 - 01.1399.,,
01,01.1302,Moved to,no,Pre-Veterinary Studies.,A program that prepares individuals for admission to a professional program in veterinary medicine.,,
01,01.1399,New,no,"Agriculture/Veterinary Preparatory Programs, Other.",Any instructional program that prepares individuals for admission to a professional program in agriculture or veterinary medicine or science not listed above.,,
01,01.80,Moved to,no,Veterinary Medicine.,Instructional content is defined in code 01.8001.,,
01,01.8001,Moved to,no,Veterinary Medicine.,"A program that prepares individuals for the independent professional practice of veterinary medicine, involving the diagnosis, treatment, and health care management of animals and animal populations and the prevention and management of zoonosis.  Includes instruction in the veterinary basic sciences, infectious and noninfectious disease, diagnostic procedures, veterinary clinical medicine, obstetrics, radiology, anesthesiology, surgery, toxicology, animal health and preventive medicine, clinical nutrition, practice management, and professional standards and ethics.",,Examples: - Veterinary Medicine (DVM)
01,01.81,Moved to,no,Veterinary Biomedical and Clinical Sciences.,Instructional content for this group of programs is defined in codes 01.8101 - 01.8199.,,
01,01.8101,Moved to,no,"Veterinary Sciences/Veterinary Clinical Sciences, General.",An integrated program of study in one or more of the veterinary medical or clinical sciences or a program undifferentiated as to title.,,"Examples: - Veterinary Sciences/Veterinary Clinical Sciences, General (Cert.), - Veterinary Sciences/Veterinary Clinical Sciences, General (MS), - Veterinary Sciences/Veterinary Clinical Sciences, General (PhD)"
01,01.8102,Moved to,no,Comparative and Laboratory Animal Medicine.,"A program that focuses on the scientific study of animal models of human disease and related experimental procedures, and prepares veterinarians and animal health specialists to manage the laboratory use and care of experimental animals.  Includes instruction in laboratory animal husbandry, laboratory animal disease, biohazard control, gnotobiology, breeding, comparative anatomy and physiology, comparative gene mapping, protein function, physical and mathematical modeling, computer modeling, stem cell technology, colony and genetic stock management, cryopreservation, applicable regulations, and bioethics.",,"Examples: - Comparative and Laboratory Animal Medicine (Cert.), - Comparative and Laboratory Animal Medicine (MS), - Comparative and Laboratory Animal Medicine (PhD)"
01,01.8103,Moved to,no,Large Animal/Food Animal and Equine Surgery and Medicine.,"A program that focuses on the scientific study of the internal medicine and invasive and noninvasive treatment of herd, work, sport, and food animals.  Includes instruction in equine medicine, swine and dairy medicine, food animal medicine, pathophysiology, large animal diseases, large animal anesthesiology and surgical procedures, preoperative and postoperative care, and specific medical specialties such as dentistry, ophthalmology, oncology, obstetrics/theriogenology, and orthopedics.",,"Examples: - Large Animal/Food Animal and Equine Surgery and Medicine (Cert.), - Large Animal/Food Animal and Equine Surgery and Medicine (MS), - Large Animal/Food Animal and Equine Surgery and Medicine (PhD)"
01,01.8104,Moved to,no,Small/Companion Animal Surgery and Medicine.,"A program that focuses on the scientific study of the internal medicine and invasive and noninvasive treatment of companion and household animals.  Includes instruction in avian medicine, pet care, companion animal medicine, pathophysiology, small animal diseases, small animal anesthesiology and surgical procedures, preoperative and postoperative care, and specific medical specialties such as dentistry, ophthalmology, oncology, obstetrics/theriogenology, and orthopedics.",,"Examples: - Small/Companion Animal Surgery and Medicine (Cert.), - Small/Companion Animal Surgery and Medicine (MS), - Small/Companion Animal Surgery and Medicine (PhD)"
01,01.8105,Moved to,no,Veterinary Anatomy.,"A program that focuses on the scientific study of the structure of small and large animal cellular, organ, tissue, and body systems and their relation to physiologic function, disease, and therapeutic treatment.  Includes instruction in histology, ultrastructure, molecular biology, biochemistry, developmental biology, neuroscience, electrophysiology, electron microscopy, computer imaging, and applications to specific species.",,"Examples: - Veterinary Anatomy (Cert.), - Veterinary Anatomy (MS), - Veterinary Anatomy (PhD)"
01,01.8106,Moved to,no,Veterinary Infectious Diseases.,"A program that focuses on the scientific study of zoonotic infectious diseases, disease mechanisms, and prevention and treatment strategies.  Includes instruction in disease pathogenesis, vector biology, mycobacterial infection, blood parasites, retroviruses, food-borne diseases, new infectious agents, ecotoxicology, mechanisms of disease transfer, antibody resistance, comparative pathology, communicable diseases, and disease prevention and eradication.",,"Examples: - Veterinary Infectious Diseases (Cert.), - Veterinary Infectious Diseases (MS), - Veterinary Infectious Diseases (PhD)"
01,01.8107,Moved to,no,Veterinary Microbiology and Immunobiology.,"A program that focuses on the scientific study of the microbial causation and immunologic processes related to animal disease, prevention, and treatment.  Includes instruction in bacteriology, mycology, virology, immune response mechanisms, humoral and cell function, cancer defenses, immune system dysfunction, immunologic diseases, parasitology, pathogenesis, and disease vectors.",,"Examples: - Veterinary Microbiology and Immunobiology (Cert.), - Veterinary Microbiology and Immunobiology (MS), - Veterinary Microbiology and Immunobiology (PhD)"
01,01.8108,Moved to,no,Veterinary Pathology and Pathobiology.,"A program that focuses on the scientific study of the development and process of disease in domestic and wild animals and applications to diagnosis, prevention, and treatment.  Includes instruction in pathogenesis, immunoparasitology, viral therapy, inherited metabolic diseases, environmental toxicology, anatomical and clinical pathology, necropsy and biopsy techniques, clinical laboratory analysis, pathological interpretation, and disease diagnosis.",,"Examples: - Veterinary Pathology and Pathobiology (Cert.), - Veterinary Pathology and Pathobiology (MS), - Veterinary Pathology and Pathobiology (PhD)"
01,01.8109,Moved to,no,Veterinary Physiology.,"A program that focuses on  the scientific study of the functional dynamics of animal biological systems and their relationship to the diagnosis and treatment of disease and injury.  Includes instruction in mammalian and non-mammalian physiology, laboratory physiology, physiological responses to the environment, endocrinology, animal biotechnology, mechanisms of hormone action, organ systems, metabolism, and pathophysiology.",,"Examples: - Veterinary Physiology (Cert.), - Veterinary Physiology (MS), - Veterinary Physiology (PhD)"
