"VariableName","Value","ValueLabel"
"Degree-granting status (HD2019)","2","Nondegree-granting, primarily postsecondary"
"Historically Black College or University (HD2019)","1","Yes"
"Historically Black College or University (HD2019)","2","No"
"Tribal college (HD2019)","1","Yes"
"Tribal college (HD2019)","2","No"
"Degree of urbanization (Urban-centric locale) (HD2019)","11","City: Large"
"Degree of urbanization (Urban-centric locale) (HD2019)","12","City: Midsize"
"Degree of urbanization (Urban-centric locale) (HD2019)","13","City: Small"
"Degree of urbanization (Urban-centric locale) (HD2019)","21","Suburb: Large"
"Degree of urbanization (Urban-centric locale) (HD2019)","22","Suburb: Midsize"
"Degree of urbanization (Urban-centric locale) (HD2019)","23","Suburb: Small"
"Degree of urbanization (Urban-centric locale) (HD2019)","31","Town: Fringe"
"Degree of urbanization (Urban-centric locale) (HD2019)","32","Town: Distant"
"Degree of urbanization (Urban-centric locale) (HD2019)","33","Town: Remote"
"Degree of urbanization (Urban-centric locale) (HD2019)","41","Rural: Fringe"
"Degree of urbanization (Urban-centric locale) (HD2019)","42","Rural: Distant"
"Degree of urbanization (Urban-centric locale) (HD2019)","43","Rural: Remote"
"Degree of urbanization (Urban-centric locale) (HD2019)","-3","{Not available}"
"Status of institution (HD2019)","A","Active - institution active "
"Status of institution (HD2019)","N","New (active) - added during the current year"
"Status of institution (HD2019)","R","Restore (active) - restored to the current universe"
"Status of institution (HD2019)","M","Closed in current year (active has data)"
"Status of institution (HD2019)","C","Combined with other institution"
"Status of institution (HD2019)","D","Delete out of business"
"Status of institution (HD2019)","G","Perfect child campus - data reported with main campus, but is listed on college navigator"
"Postsecondary and Title IV institution indicator (HD2019)","1","Title IV postsecondary institution"
"Postsecondary and Title IV institution indicator (HD2019)","2","Non-Title IV postsecondary institution
"
"Postsecondary and Title IV institution indicator (HD2019)","3","Title IV NOT primarily postsecondary institution
"
"Postsecondary and Title IV institution indicator (HD2019)","4","Non-Title IV NOT primarily postsecondary institution
"
"Postsecondary and Title IV institution indicator (HD2019)","6","Non-Title IV postsecondary institution that is NOT open to the public
"
"Postsecondary and Title IV institution indicator (HD2019)","9","Institution is not active in current universe
"
"Open admission policy (IC2019)","1","Yes"
"Open admission policy (IC2019)","2","No"
"Open admission policy (IC2019)","-2","Not applicable"
"Secondary school GPA (ADM2019_RV)","1","Required"
"Secondary school GPA (ADM2019_RV)","5","Considered but not required"
"Secondary school GPA (ADM2019_RV)","2","Recommended"
"Secondary school GPA (ADM2019_RV)","3","Neither required nor recommended"
"Secondary school rank (ADM2019_RV)","1","Required"
"Secondary school rank (ADM2019_RV)","5","Considered but not required"
"Secondary school rank (ADM2019_RV)","2","Recommended"
"Secondary school rank (ADM2019_RV)","3","Neither required nor recommended"
"Secondary school record (ADM2019_RV)","1","Required"
"Secondary school record (ADM2019_RV)","5","Considered but not required"
"Secondary school record (ADM2019_RV)","2","Recommended"
"Secondary school record (ADM2019_RV)","3","Neither required nor recommended"
"Completion of college-preparatory program (ADM2019_RV)","1","Required"
"Completion of college-preparatory program (ADM2019_RV)","5","Considered but not required"
"Completion of college-preparatory program (ADM2019_RV)","2","Recommended"
"Completion of college-preparatory program (ADM2019_RV)","3","Neither required nor recommended"
"Recommendations (ADM2019_RV)","1","Required"
"Recommendations (ADM2019_RV)","5","Considered but not required"
"Recommendations (ADM2019_RV)","2","Recommended"
"Recommendations (ADM2019_RV)","3","Neither required nor recommended"
"Formal demonstration of competencies (ADM2019_RV)","1","Required"
"Formal demonstration of competencies (ADM2019_RV)","5","Considered but not required"
"Formal demonstration of competencies (ADM2019_RV)","2","Recommended"
"Formal demonstration of competencies (ADM2019_RV)","3","Neither required nor recommended"
"Admission test scores (ADM2019_RV)","1","Required"
"Admission test scores (ADM2019_RV)","5","Considered but not required"
"Admission test scores (ADM2019_RV)","2","Recommended"
"Admission test scores (ADM2019_RV)","3","Neither required nor recommended"
"TOEFL (Test of English as a Foreign Language (ADM2019_RV)","1","Required"
"TOEFL (Test of English as a Foreign Language (ADM2019_RV)","5","Considered but not required"
"TOEFL (Test of English as a Foreign Language (ADM2019_RV)","2","Recommended"
"TOEFL (Test of English as a Foreign Language (ADM2019_RV)","3","Neither required nor recommended"
"Years of college-level work required (IC2019_RV)","1","One"
"Years of college-level work required (IC2019_RV)","2","Two"
"Years of college-level work required (IC2019_RV)","3","Three"
"Years of college-level work required (IC2019_RV)","4","Four"
"Years of college-level work required (IC2019_RV)","5","Five"
"Years of college-level work required (IC2019_RV)","6","Six"
"Years of college-level work required (IC2019_RV)","8","Eight"
"Years of college-level work required (IC2019_RV)","-1","Not reported"
"Years of college-level work required (IC2019_RV)","-2","Not applicable"
"Calendar system (IC2019)","1","Semester"
"Calendar system (IC2019)","2","Quarter"
"Calendar system (IC2019)","3","Trimester"
"Calendar system (IC2019)","4","Four-one-four plan"
"Calendar system (IC2019)","5","Other academic year"
"Calendar system (IC2019)","6","Differs by program"
"Calendar system (IC2019)","7","Continuous"
"Calendar system (IC2019)","-2","Not applicable"
"Institutional category (HD2019)","1","Degree-granting, graduate with no undergraduate degrees"
"Institutional category (HD2019)","2","Degree-granting, primarily baccalaureate or above"
"Institutional category (HD2019)","3","Degree-granting, not primarily baccalaureate or above"
"Institutional category (HD2019)","4","Degree-granting, associate's and certificates 
"
"Institutional category (HD2019)","5","Nondegree-granting, above the baccalaureate"
"Institutional category (HD2019)","6","Nondegree-granting, sub-baccalaureate"
"Institutional category (HD2019)","-1","Not reported"
"Institutional category (HD2019)","-2","Not applicable"
"Land Grant Institution (HD2019)","1","Land Grant Institution"
"Land Grant Institution (HD2019)","2","Not a Land Grant Institution"
"Data Feedback Report comparison group created by NCES (HD2019)","96","Doctoral Universities: Highest Research Activity, public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","97","Doctoral Universities: Highest Research Activity, public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","98","Doctoral Universities: Highest Research Activity, public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","99","Doctoral Universities: Highest Research Activity, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","100","Doctoral Universities: Higher Research Activity, public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","101","Doctoral Universities: Higher Research Activity, public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","102","Doctoral Universities: Higher Research Activity, public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","103","Doctoral Universities: Higher Research Activity, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","104","Doctoral/Professional Universities, public"
"Data Feedback Report comparison group created by NCES (HD2019)","105","Doctoral/Professional Universities, private not-for-profit/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","106","Doctoral/Professional Universities, private not-for-profit/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","107","Doctoral/Professional Universities, private not-for-profit/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","108","Doctoral/Professional Universities, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","109","Masters Colleges and Universities (larger programs), public/1 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","110","Masters Colleges and Universities (larger programs), public/2 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","111","Masters Colleges and Universities (larger programs), public/3 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","112","Masters Colleges and Universities (larger programs), public/4 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","113","Masters Colleges and Universities (larger programs), public/5 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","114","Masters Colleges and Universities (larger programs), private not-for-profit/1 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","115","Masters Colleges and Universities (larger programs), private not-for-profit/2 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","116","Masters Colleges and Universities (larger programs), private not-for-profit/3 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","117","Masters Colleges and Universities (larger programs), private not-for-profit/4 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","118","Masters Colleges and Universities (larger programs), private not-for-profit/5 of 5"
"Data Feedback Report comparison group created by NCES (HD2019)","119","Masters Colleges and Universities (larger programs), private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","120","Masters Colleges and Universities (medium programs), public/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","121","Masters Colleges and Universities (medium programs), public/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","122","Masters Colleges and Universities (medium programs), private not-for-profit/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","123","Masters Colleges and Universities (medium programs), private not-for-profit/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","124","Masters Colleges and Universities (medium programs), private not-for-profit/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","125","Masters Colleges and Universities (medium programs), private not-for-profit/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","126","Masters Colleges and Universities (medium programs), private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","127","Masters Colleges and Universities (smaller programs), public"
"Data Feedback Report comparison group created by NCES (HD2019)","128","Masters Colleges and Universities (smaller programs), private not-for-profit/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","129","Masters Colleges and Universities (smaller programs), private not-for-profit/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","130","Masters Colleges and Universities (smaller programs), private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","131","Baccalaureate Colleges--Arts & Sciences, public"
"Data Feedback Report comparison group created by NCES (HD2019)","132","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/1 of 7"
"Data Feedback Report comparison group created by NCES (HD2019)","133","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/2 of 7"
"Data Feedback Report comparison group created by NCES (HD2019)","134","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/3 of 7"
"Data Feedback Report comparison group created by NCES (HD2019)","135","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/4 of 7"
"Data Feedback Report comparison group created by NCES (HD2019)","136","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/5 of 7"
"Data Feedback Report comparison group created by NCES (HD2019)","137","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/6 of 7"
"Data Feedback Report comparison group created by NCES (HD2019)","138","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/7 of 7"
"Data Feedback Report comparison group created by NCES (HD2019)","139","Baccalaureate Colleges--Diverse Fields, public/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","140","Baccalaureate Colleges--Diverse Fields, public/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","141","Baccalaureate Colleges--Diverse Fields, private not-for-profit/1 of 6"
"Data Feedback Report comparison group created by NCES (HD2019)","142","Baccalaureate Colleges--Diverse Fields, private not-for-profit/2 of 6"
"Data Feedback Report comparison group created by NCES (HD2019)","143","Baccalaureate Colleges--Diverse Fields, private not-for-profit/3 of 6"
"Data Feedback Report comparison group created by NCES (HD2019)","144","Baccalaureate Colleges--Diverse Fields, private not-for-profit/4 of 6"
"Data Feedback Report comparison group created by NCES (HD2019)","145","Baccalaureate Colleges--Diverse Fields, private not-for-profit/5 of 6"
"Data Feedback Report comparison group created by NCES (HD2019)","146","Baccalaureate Colleges--Diverse Fields, private not-for-profit/6 of 6"
"Data Feedback Report comparison group created by NCES (HD2019)","206","Baccalaureate Colleges--Diverse Fields, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","147","Baccalaureate/Associates Colleges, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","148","Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","149","Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","150","Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","151","Theological seminaries/Bible colleges/faith-related institutions, highest level-postbaccalaureate, undergraduate degrees/certificates offered"
"Data Feedback Report comparison group created by NCES (HD2019)","152","Theological seminaries/Bible colleges/faith-related institutions, highest level-postbaccalaureate, undergraduate degree/certificates not offered"
"Data Feedback Report comparison group created by NCES (HD2019)","153","Theological seminaries/Bible colleges/faith-related institutions, highest level-highest level-Doctor's, undergraduate degrees/certificates offered"
"Data Feedback Report comparison group created by NCES (HD2019)","154","Theological seminaries/Bible colleges/faith-related institutions, highest level-highest level-Doctor's, undergraduate degrees/certificates not offered/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","155","Theological seminaries/Bible colleges/faith-related institutions, highest level-highest level-Doctor's, undergraduate degrees/certificates not offered/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","157","Medical schools and medical centers, public"
"Data Feedback Report comparison group created by NCES (HD2019)","158","Medical schools and medical centers, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","159","Other health professions schools, public"
"Data Feedback Report comparison group created by NCES (HD2019)","160","Other health professions schools, private not-for-profit/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","161","Other health professions schools, private not-for-profit/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","162","Other health professions schools, private not-for-profit/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","164","Other health professions schools, private for-profit/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","165","Other health professions schools, private for-profit/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","167","Schools of engineering"
"Data Feedback Report comparison group created by NCES (HD2019)","169","Other technology-related schools, private not-for-profit and for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","170","Schools of business and management, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","172","Schools of business and management, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","174","Schools of art, music, and design, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","175","Schools of art, music, and design, Public or private not-for-profit/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","176","Schools of art, music, and design, Public or private not-for-profit/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","177","Schools of law"
"Data Feedback Report comparison group created by NCES (HD2019)","179","Other special-focus institutions"
"Data Feedback Report comparison group created by NCES (HD2019)","1","Degree-granting 4-year with no Carnegie classification, highest degree - bachelor's, public"
"Data Feedback Report comparison group created by NCES (HD2019)","205","Degree-granting 4-year with no Carnegie classification, highest degree-Doctor's or Master's, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","207","Degree-granting 4-year with no Carnegie classification, highest degree-Bachelor's, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","208","Degree-granting 4-year with no Carnegie classification, highest degree-Bachelor's, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","209","Degree-granting 4-year with no Carnegie classification, highest degree-Master's private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","156","Degree-granting four year primarily associates, Theological seminaries/Bible colleges/faith-related institutions"
"Data Feedback Report comparison group created by NCES (HD2019)","163","Degree-granting four-year primarily associate's, Health professions schools, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","166","Degree-granting four-year primarily associate's, Health professions schools, public or private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","168","Degree-granting four-year primarily associate's, Technology-related schools"
"Data Feedback Report comparison group created by NCES (HD2019)","171","Degree-granting four-year primarily associate's, Schools of business and management, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","173","Degree-granting four-year primarily associate's, Schools of art, music, and design, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","178","Degree-granting four-year primarily associate's, Other special-focus institutions"
"Data Feedback Report comparison group created by NCES (HD2019)","194","Degree-granting four-year, primarily associate's, Carnegie classification of Associate's Dominant, public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","195","Degree-granting four-year, primarily associate's, Carnegie classification of Associate's Dominant, public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","196","Degree-granting four-year, primarily associate's, Carnegie classification of Associate's Dominant, public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","197","Degree-granting four-year, primarily associate's, Carnegie classification of Associate's Dominant, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","198","Degree-granting four-year, primarily associate's, Carnegie classification of Associate's Dominant, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","199","Degree-granting four-year, primarily associate's, Carnegie classification of Mixed Baccalaureate/Associate's, public"
"Data Feedback Report comparison group created by NCES (HD2019)","200","Degree-granting four-year, primarily associate's, Carnegie classification of Mixed Baccalaureate/Associate's, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","201","Degree-granting four-year, primarily associate's, Carnegie classification of Mixed Baccalaureate/Associate's, private for-profit/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","202","Degree-granting four-year, primarily associate's, Carnegie classification of Mixed Baccalaureate/Associate's, private for-profit/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2019)","203","Degree-granting four-year, primarily associate's, with no Carnegie classification, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","204","Degree-granting four-year, primarily associate's, with no Carnegie classifcation, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2019)","64","Associate's Colleges: High Transfer-High Traditional, public/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","65","Associate's Colleges: High Transfer-High Traditional, public/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","66","Associate's Colleges: High Transfer-High Traditional, public/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","67","Associate's Colleges: High Transfer-High Traditional, public/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","68","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","69","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","70","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","71","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","72","Associate's Colleges: High Transfer-High Nontraditional, Public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","73","Associate's Colleges: High Transfer-High Nontraditional, Public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","74","Associate's Colleges: High Transfer-High Nontraditional, Public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","75","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, Public/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","76","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, Public/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","77","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, Public/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","78","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, Public/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2019)","79","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional, public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","80","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional, public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","81","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional, public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","82","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, Public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","83","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, Public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","84","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, Public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2019)","85","Associate's Colleges: High Career & Technical-High Traditional, public/1 of 2"
