"","Name","City","State","Sector","Level of institution","Historically Black College or University","Tribal college","Undergraduate enrollment","Grad enrollment","Yield","Admission","Graduation","First year retention","Walkability","Undergrads per tenure-track professor","Undergrads per instructor","URL","Tuition and fees as a percent of core revenues","Endowment assets per FTE","Average net price-students awarded grant or scholarship aid","Liquor discipline per student (3 yr avg)","Liquor arrest per student (3 yr avg)","Drug discipline per student (3 yr avg)","Drug arrest per student (3 yr avg)","Weapon discipline per student (3 yr avg)","Weapon arrest per student (3 yr avg)","Reported rape per student (3 yr avg)","Reported fondling per student (3 yr avg)","Number of physical books","Number of physical media","Number of digital/electronic books","Total library circulations (physical and digital/electronic)","Average library loans (physical) per student or faculty member","Average library loans (physical + digital) per student or faculty member","Warmest month max temp (F)","Coldest month min temp (F)","Annual precipitation (inches)","biome","Covid vax (employees)","Covid vax (students)","Abortion","Gun law stringency","Proportion of reps voting in favor of respect for right to contraception act","Proportion of reps voting in favor of respect for marriage act"
"11","Dartmouth College (Hanover, NH)","Hanover","NH","Private not-for-profit, 4-year or above","Four or more years","No","No",4401,2093,0.63,0.08,0.95,0.98,0.32,7.5,6.2,"DartmouthCollege.html",18,834011,24525,0.0305923416487014,0.00272045991171338,0.00184785956267324,0.000307976593778873,0,0,0.00405502515142183,0.00153988296889436,"1572224","110273","1055503","1398917",24.1,194.3,80.8,6.3,36.7,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","F",1,1
"12","Cornell University (Ithaca, NY)","Ithaca","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",15038,8883,0.6,0.11,0.95,0.97,0.31,10.7,8.2,"CornellUniversity.html",29,272436,27522,0.0196480080264203,6.96737873277316e-05,0.00175577944065884,6.96737873277316e-05,4.18042723966389e-05,1.39347574655463e-05,0.000627064085949584,0.00064099884341513,"5152167","535410","1698149","3213551",8.3,124.8,80.8,14.7,35.6,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"13","Northwestern University (Evanston, IL)","Evanston","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",8284,9910,0.55,0.09,0.94,0.98,0.64,6.1,3.6,"NorthwesternUniversity.html",30,408726,28344,0.00980176615001283,0,0.000109926349345938,1.8321058224323e-05,1.8321058224323e-05,7.32842328972921e-05,0.000311457989813492,0.000164889524018907,"2577346","218675","2151485","1679452",5,82,82.8,15.1,35.6,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"14","Juilliard School (New York, NY)","New York","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",486,354,0.62,0.07,0.96,0.95,0.66,Inf,3.7,"JuilliardSchool.html",19,1017117,41022,0.0107142857142857,0,0.00119047619047619,0,0,0,0,0.000793650793650794,"136295","35105","792","57525",57.6,59.2,84.6,24.3,45.2,"Temperate Broadleaf & Mixed Forests","No","Yes","Legal","A-",0.76,0.96
"15","California Institute of Technology (Pasadena, CA)","Pasadena","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",938,1299,0.44,0.06,0.94,0.98,0.69,3.1,2.8,"CaliforniaInstituteofTechnology.html",7,1332293,26591,0.0655639994039636,0,0.00268216361198033,0,0,0,0.000596036358217851,0.0150499180450007,"264985","6637","111989","2117271",6,822.2,89.1,42.4,19.1,"Mediterranean Forests, Woodlands & Scrub","Yes","Yes","Legal","A",0.792452830188679,0.886792452830189
"16","University of California-Los Angeles (Los Angeles, CA)","Los Angeles","CA","Public, 4-year or above","Four or more years","No","No",30969,11798,0.43,0.12,0.92,0.97,0.69,17.5,7.7,"UniversityofCalifornia-LosAngeles.html",18,48721,16474,0.00825402763813221,7.79417151853844e-06,0.00186280699293069,0.00102883064044707,0,0.000226030974037615,0.000639122064520152,0.000826182180965074,"13729692","4857000","1318900","28163087",11.3,602.1,81,47.8,15.7,"Mediterranean Forests, Woodlands & Scrub","Yes","Yes","Legal","A",0.792452830188679,0.886792452830189
"17","Vanderbilt University (Nashville, TN)","Nashville","TN","Private not-for-profit, 4-year or above","Four or more years","No","No",6833,5219,0.47,0.09,0.93,0.97,0.38,8.4,5.3,"VanderbiltUniversity.html",23,528920,25804,0.0130545414315743,5.53158535236199e-05,0.00312534572408452,0.00124460670428145,0,0.00016594756057086,0.00215731828742118,0.00152118597189955,"1932705","264864","2405233","130454",6.4,9.8,89.6,25.3,48.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Prohibited","F",0.222222222222222,0.222222222222222
"18","University of Southern California (Los Angeles, CA)","Los Angeles","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",19622,21875,0.42,0.11,0.92,0.96,0.69,13.1,7.9,"UniversityofSouthernCalifornia.html",49,131418,39759,0.00603256460306368,3.21308367673165e-05,0.00198407917038179,0.000160654183836583,1.60654183836583e-05,0.000104425219493779,0.00141375681776193,0.000530158806660722,"5009597","123825","1682067","1631687",2.5,37.1,83.5,47.3,14.4,"Mediterranean Forests, Woodlands & Scrub","Yes","Yes","Legal","A",0.792452830188679,0.886792452830189
"19","Bowdoin College (Brunswick, ME)","Brunswick","ME","Private not-for-profit, 4-year or above","Four or more years","No","No",1834,0,0.59,0.09,0.95,0.98,0.36,11.1,8.3,"BowdoinCollege.html",21,963354,25622,0.054525627044711,0.000727008360596147,0.00817884405670665,0,0,0,0.00254452926208651,0.00254452926208651,"574765","53157","853520","334108",15.4,162.5,79,11.8,45,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","F",1,1
"20","Pomona College (Claremont, CA)","Claremont","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",1617,0,0.54,0.07,0.93,0.97,0.69,9.1,9,"PomonaCollege.html",18,1368571,30392,0.0305091733663162,0,0.0109255823541538,0.00020614306328592,0,0,0.00288600288600289,0.000824572253143682,NA,NA,NA,NA,NA,NA,92.5,40.6,18.5,"Mediterranean Forests, Woodlands & Scrub","No","Yes","Legal","A",0.792452830188679,0.886792452830189
"21","Rice University (Houston, TX)","Houston","TX","Private not-for-profit, 4-year or above","Four or more years","No","No",3942,3019,0.41,0.09,0.93,0.98,0.49,7.3,5.7,"RiceUniversity.html",19,862431,19215,0.00143657520471197,0,0.000526744241727721,9.57716803141311e-05,0,9.57716803141311e-05,0.00196331944643969,0.0013886893645549,"1844943","472755","182532","275175",8.3,35.9,91.8,43.5,44.8,"Tropical & Subtropical Grasslands, Savannas & Shrubland","Yes","Yes","Prohibited","F",0.333333333333333,0.361111111111111
"22","Swarthmore College (Swarthmore, PA)","Swarthmore","PA","Private not-for-profit, 4-year or above","Four or more years","No","No",1591,0,0.41,0.09,0.94,0.98,0.66,8.8,7.1,"SwarthmoreCollege.html",22,1308504,20360,0.0557301487534046,0.00419023674837628,0.0144563167818982,0.000209511837418814,0.000419023674837628,0,0.00502828409805154,0.00209511837418814,"670449","45206","762674","385192",40.2,212.3,86.2,23.2,44.1,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","B-",0.555555555555556,0.666666666666667
"23","Platt College-Aurora (Aurora, CO)","Aurora","CO","Private for-profit, 4-year or above","Four or more years","No","No",248,0,1,0.13,1,0.5,0.64,Inf,27.6,"PlattCollege-Aurora.html",86,NA,41735,0,0,0,0,0,0,0,0,"610","50","3612","316",0.6,1.2,87.6,15.3,16.5,"Temperate Grasslands, Savannas & Shrublands","No","No","Legal","B",0.571428571428571,0.571428571428571
"24","Johns Hopkins University (Baltimore, MD)","Baltimore","MD","Private not-for-profit, 4-year or above","Four or more years","No","No",5762,9145,0.42,0.11,0.93,0.97,0.58,1.8,1.5,"JohnsHopkinsUniversity.html",8,247630,25241,0.0101071085172514,2.23608595514412e-05,0.000536660629234588,2.23608595514412e-05,4.47217191028823e-05,0.000134165157308647,0.000648464926991794,0.00120748641577782,"2354643","153538","1817057","1300303",6.4,69.1,88.5,23.7,44.1,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.875,0.875
"25","Amherst College (Amherst, MA)","Amherst","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",1839,0,0.39,0.11,0.95,0.97,0.56,9.7,7.1,"AmherstCollege.html",17,1280167,18832,0.0150444081928584,0,0.00163132137030995,0.000181257930034439,0,0,0.00525647997099873,0.00525647997099873,"898823","41625","1000350","473385",19.6,225.5,82,11.7,44.1,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"26","Washington University in St Louis (Saint Louis, MO)","Saint Louis","MO","Private not-for-profit, 4-year or above","Four or more years","No","No",7139,6735,0.49,0.14,0.95,0.97,0.51,5.3,4.2,"WashingtonUniversityinStLouis.html",12,498100,27233,0.0322185382730287,0,0.00480515112200279,0.000456489356590265,4.80515112200279e-05,0.000264283311710153,0.000840901446350488,0.000504540867810293,"1884580","310574","2058258","1189620",7.2,76.5,89.4,20.3,38.1,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Prohibited","F",0.25,0.375
"27","University of California-Berkeley (Berkeley, CA)","Berkeley","CA","Public, 4-year or above","Four or more years","No","No",29991,9959,0.45,0.16,0.93,0.97,0.69,21.4,16.5,"UniversityofCalifornia-Berkeley.html",34,49178,19329,0.00929495202336254,0.000125156445556946,0.00156862745098039,0.000809345014601585,6.6750104297038e-05,0.000425531914893617,0.000483938256153525,0.000241969128076763,"8187820","19915811","1720328","4608369",8.2,110.3,73.9,42.4,24.2,"Mediterranean Forests, Woodlands & Scrub","Yes","Yes","Legal","A",0.792452830188679,0.886792452830189
"28","Georgetown University (Washington, DC)","Washington","DC","Private not-for-profit, 4-year or above","Four or more years","No","No",7029,7879,0.48,0.14,0.95,0.97,0.59,9,5.8,"GeorgetownUniversity.html",52,109927,30710,0.0110678830158304,0,0.00317502906716752,2.23593596279403e-05,0,0,0.000737858867722028,0.000514265271442626,"1848301","212081","2808631","1375965",8.9,85.4,87.4,23.9,40.7,"Temperate Broadleaf & Mixed Forests","Yes","Yes",NA,NA,NA,NA
"29","University of Notre Dame (Notre Dame, IN)","Notre Dame","IN","Private not-for-profit, 4-year or above","Four or more years","No","No",8708,3695,0.58,0.16,0.96,0.98,0.38,9.8,7.3,"UniversityofNotreDame.html",20,866689,29981,0.0537773119406595,0.000591254803945282,0.00126313526297401,0.000241876965250343,0,5.37504367222984e-05,0.000349377838694939,0.000537504367222984,"2501266","250581","1194011","1254782",7.5,92.3,83.8,15.8,38.4,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","D-",0.222222222222222,0.222222222222222
"30","Williams College (Williamstown, MA)","Williamstown","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",2043,56,0.45,0.13,0.95,0.97,0.48,7.8,6.6,"WilliamsCollege.html",18,1258186,22356,0.0282674289344132,0,0.00111164046371288,0,0.000158805780530411,0,0.00317611561060823,0.00254089248848658,"654800","43338","1229939","184569",11.6,76.6,82.2,10,42.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"31","Tufts University (Medford, MA)","Medford","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",5742,5177,0.47,0.15,0.94,0.96,0.65,12.2,6.1,"TuftsUniversity.html",44,159423,32720,0.0169429434929939,3.05278261135025e-05,0.00277803217632872,3.05278261135025e-05,0.00012211130445401,0,0.000305278261135025,0.000671612174497054,"885931","92171","1173501","810362",11.7,68.4,82.8,17.2,43.7,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"32","Barnard College (New York, NY)","New York","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",2584,0,0.58,0.12,0.92,0.95,0.66,16,10.3,"BarnardCollege.html",62,141874,30572,0.0136738906088751,0,0.00490196078431373,0,0,0,0.000386996904024768,0.000128998968008256,"176490","3675","359423","27012",7.6,9.5,84.7,23.9,45.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"33","Claremont McKenna College (Claremont, CA)","Claremont","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",1340,3,0.52,0.1,0.91,0.96,0.69,9.9,8.2,"ClaremontMcKennaCollege.html",28,650244,22004,0.000248200546041201,0,0.00372300819061802,0,0.000496401092082403,0,0.00273020600645321,0.00248200546041201,NA,NA,NA,NA,NA,NA,92.7,40.5,19.5,"Mediterranean Forests, Woodlands & Scrub","No","Yes","Legal","A",0.792452830188679,0.886792452830189
"34","Colby College (Waterville, ME)","Waterville","ME","Private not-for-profit, 4-year or above","Four or more years","No","No",2003,0,0.4,0.1,0.89,0.94,0.32,11.9,8.9,"ColbyCollege.html",31,378229,18552,0.0402729239474122,0,0.00931935430188051,0,0,0,0.0036611749043102,0.0018305874521551,"527596","51211","881578","215756",15.5,96.8,81.3,6.8,41.9,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","F",1,1
"35","Bates College (Lewiston, ME)","Lewiston","ME","Private not-for-profit, 4-year or above","Four or more years","No","No",1820,0,0.5,0.12,0.91,0.94,0.37,14.1,9.8,"BatesCollege.html",63,179980,26451,0.0538461538461538,0.000549450549450549,0.0263736263736264,0,0,0,0.00256410256410256,0.0010989010989011,"557400","37848","1265718","563933",23.1,281.3,80.1,9.7,45,"Temperate Broadleaf & Mixed Forests","No","Yes","Legal","F",1,1
"36","Middlebury College (Middlebury, VT)","Middlebury","VT","Private not-for-profit, 4-year or above","Four or more years","No","No",2556,0,0.4,0.15,0.93,0.94,NA,10.4,8.2,"MiddleburyCollege.html",55,316268,24517,0.104590505998957,0,0,0,0,0,0.004434011476265,0.00130412102243088,"589023","96554","1224603","103700",16.8,36.2,81.5,7.5,36.3,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","C-",1,1
"37","Franklin W Olin College of Engineering (Needham, MA)","Needham","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",347,0,0.6,0.16,0.96,0.99,0.65,Inf,7.2,"FranklinWOlinCollegeofEngineering.html",19,1100160,34297,0.0048030739673391,0,0.000960614793467819,0,0,0,0.00192122958693564,0,"15514","142","3084206","16636",30.2,42.1,82.8,16.5,45.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"38","Carnegie Mellon University (Pittsburgh, PA)","Pittsburgh","PA","Private not-for-profit, 4-year or above","Four or more years","No","No",6425,6893,0.37,0.15,0.9,0.97,0.52,8.8,5.8,"CarnegieMellonUniversity.html",45,121055,36983,0.000750863493016969,0.00122641037192772,0.00157681333533564,7.5086349301697e-05,0,2.50287831005657e-05,0.00040046052960905,0.000901036191620363,"660253","57898","918854","1137759",1.6,78.8,84.4,18,37.9,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","B-",0.555555555555556,0.666666666666667
"39","Hamilton College (Clinton, NY)","Clinton","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",1999,0,0.35,0.16,0.93,0.94,0.41,12.2,9.8,"HamiltonCollege.html",51,506871,23936,0.0216775054193764,0,0.0311822577955644,0.000333500083375021,0.00016675004168751,0,0.00516925129231282,0.00266800066700017,"500282","333096","1022119","328734",5.6,149.2,80.4,10.9,43,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"40","Harvey Mudd College (Claremont, CA)","Claremont","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",894,0,0.41,0.14,0.92,0.97,0.69,9.1,8.4,"HarveyMuddCollege.html",42,371683,37192,0.00782997762863535,0,0.00298284862043251,0,0,0,0.00223713646532438,0.00111856823266219,NA,NA,NA,NA,NA,NA,92.7,40.5,19.5,"Mediterranean Forests, Woodlands & Scrub","Yes","Yes","Legal","A",0.792452830188679,0.886792452830189
"41","Wesleyan University (Middletown, CT)","Middletown","CT","Private not-for-profit, 4-year or above","Four or more years","No","No",2937,126,0.35,0.16,0.92,0.97,0.52,11,7.8,"WesleyanUniversity.html",54,305089,22845,0.0700837958428556,0,0.0277505713352922,0.000544128849711612,0.000326477309826967,0.000326477309826967,0.00380890194798128,0.000217651539884645,"948293","43012","1153768","831440",9.1,241.6,83.5,18.5,47.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"42","University of Michigan-Ann Arbor (Ann Arbor, MI)","Ann Arbor","MI","Public, 4-year or above","Four or more years","No","No",30204,15306,0.46,0.23,0.93,0.97,0.54,10.7,4.5,"UniversityofMichigan-AnnArbor.html",29,256920,17832,0.0220684098732879,0.000146487951366,0.0024243755951073,0.000622573793305501,6.59195781147001e-05,9.52171683879001e-05,0.00933128250201421,0.00733904636343661,"5100626","1118526","3138222","5373895",9.2,102.8,82.4,15.1,32.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","C+",0.571428571428571,0.642857142857143
"43","Emory University (Atlanta, GA)","Atlanta","GA","Private not-for-profit, 4-year or above","Four or more years","No","No",7012,5893,0.29,0.16,0.9,0.95,0.42,7.1,3.2,"EmoryUniversity.html",18,566994,25672,0.0138189332300142,7.74893452150329e-05,0.00131731886865556,0.000981531706057084,0,7.74893452150329e-05,0.00095570192431874,0.00095570192431874,"2378073","282324","1316213","1335157",7.1,88.5,88.7,31.1,51.4,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Functional ban","F",0.428571428571429,0.428571428571429
"44","University of Virginia-Main Campus (Charlottesville, VA)","Charlottesville","VA","Public, 4-year or above","Four or more years","No","No",16267,6654,0.4,0.24,0.95,0.97,0.38,11.2,6.8,"UniversityofVirginia-MainCampus.html",28,264679,19043,0.0154298096359961,0.000421738434914125,0.00109070284891584,0.00047990925352297,0,5.81708186088449e-05,0.000741677937262772,0.000421738434914125,"3238260","660460","993540","4158112",6.5,164.2,87.8,24.6,44.4,"Temperate Broadleaf & Mixed Forests","No","No","Legal","B",0.636363636363636,0.636363636363636
"45","Tulane University of Louisiana (New Orleans, LA)","New Orleans","LA","Private not-for-profit, 4-year or above","Four or more years","No","No",7260,2894,0.34,0.13,0.86,0.93,0.55,11.4,5.5,"TulaneUniversityofLouisiana.html",52,108426,47413,0.000656555708751888,0.000459588996126321,0.00476002888845119,0.00154290591556694,9.84833563127832e-05,9.84833563127832e-05,0.00141159477381656,0.000426761210688727,"1863132","38097","1274114","334802",5.4,29.2,91,42.8,61.3,"Temperate Broadleaf & Mixed Forests","No","No","Prohibited","F",0.166666666666667,0.166666666666667
"46","Northeastern University (Boston, MA)","Boston","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",14156,7241,0.27,0.18,0.89,0.99,0.65,18.3,10.5,"NortheasternUniversity.html",74,42465,37738,0.0162483837298064,0,0.000280413142029256,0.000171363586795657,6.2314031562057e-05,7.78925394525712e-05,0.000451776728824913,0.000140206571014628,"525602","131240","1106157","1319049",2.1,58,82.8,18,44.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"47","New York University (New York, NY)","New York","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",25872,19494,0.45,0.16,0.85,0.94,0.66,13.2,4.4,"NewYorkUniversity.html",30,81550,45417,0.0144748637011565,0,0.00189569280959309,3.67382327440521e-05,0,7.34764654881042e-06,0.000213081749915502,0.000257167629208365,"3514631","301174","2074548","3969668",3.5,77.5,84.7,24.4,45.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"48","Washington and Lee University (Lexington, VA)","Lexington","VA","Private not-for-profit, 4-year or above","Four or more years","No","No",1845,404,0.4,0.19,0.94,0.98,NA,8.8,7.4,"WashingtonandLeeUniversity.html",28,804370,27148,0.0514302653030977,0.000148214021046391,0.0155624722098711,0.000444642063139173,0,0.000148214021046391,0.00148214021046391,0.0016303542315103,"663998","130130","838725","83304",8.9,33.3,86.4,23.4,39.8,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","B",0.636363636363636,0.636363636363636
"49","Cooper Union for the Advancement of Science and Art (New York, NY)","New York","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",854,52,0.5,0.15,0.91,0.91,0.66,15.8,15.8,"CooperUnionfortheAdvancementofScienceandArt.html",11,801007,25005,0.0161883738042678,0,0.00478292862398823,0,0,0,0,0,"86406","86746","240217","34523",12.7,36,84.6,24.4,45,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"50","Emory University-Oxford College (Oxford, GA)","Oxford","GA","Private not-for-profit, 2-year","At least 2 but less than 4 years","No","No",982,0,0.13,0.2,0.95,0.94,0.42,16.4,10.7,"EmoryUniversity-OxfordCollege.html",71,53111,33973,0.0414120841819416,0,0.010183299389002,0.0010183299389002,0,0,0.00169721656483367,0,NA,NA,NA,NA,NA,NA,89.4,32,49.3,"Temperate Broadleaf & Mixed Forests","No","No","Functional ban","F",0.428571428571429,0.428571428571429
"51","Boston University (Boston, MA)","Boston","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",16978,10576,0.27,0.19,0.88,0.94,0.65,18.8,5.6,"BostonUniversity.html",59,66149,29154,0.0190051051269023,0.000181461856717718,1.20974571145145e-05,0.000895211826474075,4.83898284580581e-05,0.00013307202825966,0.000302436427862863,0.000399216084778979,"1227843","162642","4385607","2142697",2,70.1,82.8,17.8,44.1,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"52","Haverford College (Haverford, PA)","Haverford","PA","Private not-for-profit, 4-year or above","Four or more years","No","No",1314,0,0.45,0.16,0.9,0.96,0.66,12.4,8,"HaverfordCollege.html",44,382908,25215,0.00710299340436327,0.00837138508371385,0.0045662100456621,0.000253678335870117,0,0,0.00228310502283105,0.0030441400304414,"312446","16375","931044","45863",15,31,85.3,22.3,44.9,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","B-",0.555555555555556,0.666666666666667
